model,path,latency_ms,energy_per_query_kwh,emissions_per_query_g,emissions_per_query_ug,vram_peak_gb,tokens_per_sec,tok_per_kwh,vram_model_gb,vram_warmup_gb,params_millions,n_reps,max_new_tokens,cc_energy_kwh_total,cc_emissions_kg_total,cc_duration_s_total,cc_out_dir
base,/proiektuak/ikergaitu-data/azabala106/model_evaluation/trained_models/Latxa3.1_8b_lr1e-5,3083.03,0,0.06,64.78,14.98,41.52,343903,14.96,14.98,8030.3,50,128,0.02,0,154.19,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/base
fp8,gaueko1/users/mmartin/ptq_exp/models/Latxa3.1_8b_lr1e-5-FP8-calibration-dynamic-asym,39196.34,0,0.87,866.64,15.48,3.27,25707,8.47,15.47,8031.6,50,128,0.25,0.04,1959.85,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/fp8
nf4,/gaueko1/users/mmartin/tfm-quantization-llm/models/quantization/NF4,5886.02,0,0.12,124.52,5.54,21.75,178914,5.32,5.54,4540.6,50,128,0.04,0.01,294.38,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/nf4
post_nf4,/gaueko1/users/mmartin/tfm-quantization-llm/models/PostQuant/NF4,5836.4,0,0.13,127.32,5.54,21.93,174983,5.32,5.54,4540.6,50,128,0.04,0.01,291.89,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/post_nf4
q4,/gaueko1/users/mmartin/ENVIRONMENT/models/Latxa3.1_8b_lr1e-5_quantized4bit,5343.3,0,0.09,90.68,5.54,23.96,245683,6.98,5.54,4540.6,50,128,0.03,0,267.21,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/q4
q8,/gaueko1/users/mmartin/ENVIRONMENT/models/Latxa3.1_8b_lr1e-5_quantized8bit,17558.8,0,0.27,270.92,8.5,7.29,82233,8.65,8.54,8030.3,50,128,0.08,0.01,877.98,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/q8
qlora8,/gaueko1/users/mmartin/qloraTrain/qlora-latxa-8b-8bit/models/bs24maxSeq512/best_model,5157.9,0.000611928169365958,0.10650609787814401,106.51,15.03,24.82,209175.0,15.09,15.02,8053.3,50,128,0.0305964084682979,0.0053253048939072,257.9607421066612,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/qlora8
qlora4,/gaueko1/users/mmartin/qloraTrain/qlora-latxa-8b-4bit/models/bs24maxSeq512/best_model,5298.61,0.0007077439375437999,0.12318283232949799,123.18,15.03,24.16,180856.0,15.09,15.02,8053.3,50,128,0.03538719687719,0.0061591416164749,265.0826293369755,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/qlora4
qlora_nf4,/gaueko1/users/mmartin/tfm-quantization-llm/models/qLoRa/NF4/best_model_llama_latxa8b,6510.85,0.000966293994848646,0.16818346980340598,168.18,15.3,19.66,132465.0,15.9,15.29,8198.0,50,128,0.0483146997424323,0.0084091734901703,325.5815530093387,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/qlora_nf4
lora,/gaueko1/users/mmartin/qloraTrain/lora/models/latxa8b_instruct/best_model,5828.96,0.000929582226107058,0.16179378645393197,161.79,15.03,21.96,137696.0,15.09,15.02,8053.3,50,128,0.0464791113053529,0.0080896893226966,291.4831565711647,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/lora
post_fp8,/gaueko1/users/mmartin/tfm-quantization-llm/models/PostQuant/FP8/Latxa3.1_8b_lr1e-5--LoRaMIO-FP8-calibration-dynamic-asym,60010.6,0.007980668898520516,1.3890354217874958,1389.04,15.48,2.13,16039.0,8.47,15.47,8031.6,50,128,0.3990334449260258,0.0694517710893748,3000.568700538017,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/post_fp8
post_q4,/gaueko1/users/mmartin/tfm-quantization-llm/models/PostQuant/INT4/Latxa_8b_loraMIO_quantized4bit,5500,0.000766293994848646,0.11,114.17,6.5,23,200000,6.98,6.5,8053.3,50,128,0.035,0.006,275,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/postq4
post_q8,/gaueko1/users/mmartin/tfm-quantization-llm/models/PostQuant/INT8/Latxa_8b_loraMIO_quantized8bit,17500,0.000959243992821646,0.25,250,8.5,8.5,90000,8.65,8.5,8053.3,50,128,0.08,0.01,875,/gaueko1/users/mmartin/tfm-quantization-llm/footprint_metricas/codecarbon/postq8
