Modelo,Belebele_eu (RC),EusExams (QA),EusProficiency (QA),EusReading (RC),EusTrivia (QA),media acc (lm harness),Tamaño modelo en disco(du -sh),VRAM (durante ft),Energia consumida (kWh/query),Emisiones de CO₂e (g/query),Token/s,Eficiencia(tok/kWh),Params (M),"VRAM inferencia (peak, batch=1)","Latencia (prompt corto, max_new_tokens=128, batch=1)",Tiempo entrenamiento LoRa,tecnica
base,"0,7533","0,5589","0,5351","0,5795","0,6058","0,6065",16.1,,"0,0004","0,0648","41,5",343903,"8030,3",14.98gb,"3,06s",,
q8,"0,7533","0,5536","0,5278","0,5852","0,5837","0,6007",8.5,,"0,0015","0,2709","7,29",82233,"8030,3","8,5gb","17,6s",,
q4,"0,6800","0,5054","0,4463","0,4773","0,5417","0,5301",5.4,,"0,0005","0,09","23,96",245683,"4540,6","5,54gb","5,34s",,
nf4,"0,6911","0,5019","0,4920","0,5653","0,5615","0,5624",5.4,,"0,0007","0,12","21,75",178914,"4540,6","5,54gb","5,88s",,
qlora8,"0,6267","0,4063","0,3850","0,4972","0,4939","0,4818",0.105,"15,73gb","0,0006","0,11","24,82",209175,"8053,3","15,03gb","5,16s","3277,5min",
qlora4,"0,6244","0,4175","0,3691","0,4830","0,4828","0,4754",0.105,"12,75gb","0,0007","0,12","24,16",180856,"8053,3","15,03gb","5,30s","1211,2min",
qlora_nf4,"0,7233","0,5172","0,4662","0,5426","0,5499","0,5598",0.675,"25,41gb","0,0009","0,17","19,66",132465,8198,"15,3gb","6,51s","398,9min",
lora,"0,6811","0,4482","0,3908","0,4744","0,5131","0,5015",0.105,"22,25gb","0,0009","0,16","21,96",137696,"8053,3","15,03gb","5,83s","482,7min",
post_q8,"0,6800","0,4363","0,3910","0,4631","0,5102","0,4961",8.6,,"0,0009","0,25","8,5",90000,"8053,3","8,5gb","17,5s",,
post_q4,"0,6022","0,3895","0,3246","0,3892","0,4490","0,4309",5.5,,"0,0007","0,11",23,200000,"8053,3","6,5gb","5,5s",,
post_nf4,"0,6733","0,4247","0,3745","0,4403","0,4805","0,4787",5.4,,"0,0007","0,13","21,93",174983,"4540,6","5,54gb","5,84s",,
fp8,"0,7500","0,5392","0,5289","0,5959","0,5913","0,6011",4.7,,"0,0050","0,87","3,27",25707,"8031,6","15,48gb","39,1s",,modelo base + fp8 dynamic(con calibration) asym
post_fp8,"0,6833","0,4430","0,3918","0,4688","0,5050","0,4984",8.5,,"0,0079","1,39","2,13",16039,"8031,6","15,48gb",60s,,
